Country,Date,Value,Precipitation
Australia,2010-01-01,31.95896774193548,0.13252935
Australia,2010-01-02,32.06101140924632,0.13283154161290323
Australia,2010-01-03,32.16305507655716,0.13313373322580643
Australia,2010-01-04,32.265098743867995,0.13343592483870967
Australia,2010-01-05,32.367142411178826,0.1337381164516129
Australia,2010-01-06,32.46918607848966,0.1340403080645161
Australia,2010-01-07,32.5712297458005,0.13434249967741935
Australia,2010-01-08,32.67327341311134,0.13464469129032258
Australia,2010-01-09,32.77531708042218,0.1349468829032258
Australia,2010-01-10,32.877360747733015,0.13524907451612903
Australia,2010-01-11,32.97940441504385,0.13555126612903226
Australia,2010-01-12,33.08144808235469,0.13585345774193547
Australia,2010-01-13,33.18349174966552,0.1361556493548387
Australia,2010-01-14,33.28553541697636,0.13645784096774194
Australia,2010-01-15,33.3875790842872,0.13676003258064517
Australia,2010-01-16,33.489622751598034,0.13706222419354838
Australia,2010-01-17,33.59166641890887,0.13736441580645162
Australia,2010-01-18,33.69371008621971,0.13766660741935485
Australia,2010-01-19,33.79575375353055,0.13796879903225806
Australia,2010-01-20,33.897797420841385,0.1382709906451613
Australia,2010-01-21,33.999841088152216,0.13857318225806453
Australia,2010-01-22,34.101884755463054,0.13887537387096774
Australia,2010-01-23,34.20392842277389,0.13917756548387097
Australia,2010-01-24,34.30597209008473,0.1394797570967742
Australia,2010-01-25,34.40801575739557,0.13978194870967742
Australia,2010-01-26,34.510059424706405,0.14008414032258065
Australia,2010-01-27,34.61210309201724,0.1403863319354839
Australia,2010-01-28,34.714146759328074,0.1406885235483871
Australia,2010-01-29,34.81619042663891,0.14099071516129033
Australia,2010-01-30,34.91823409394975,0.14129290677419357
Australia,2010-01-31,35.02027776126059,0.14159509838709677
Australia,2010-02-01,35.122321428571425,0.14189729
Australia,2010-02-02,34.85052077847268,0.13942652892857144
Australia,2010-02-03,34.578720128373924,0.13695576785714286
Australia,2010-02-04,34.30691947827518,0.1344850067857143
Australia,2010-02-05,34.03511882817643,0.13201424571428572
Australia,2010-02-06,33.76331817807768,0.12954348464285714
Australia,2010-02-07,33.49151752797893,0.12707272357142857
Australia,2010-02-08,33.21971687788018,0.12460196250000001
Australia,2010-02-09,32.947916227781434,0.12213120142857144
Australia,2010-02-10,32.67611557768269,0.11966044035714286
Australia,2010-02-11,32.40431492758393,0.11718967928571429
Australia,2010-02-12,32.132514277485186,0.11471891821428572
